user_id,accuracy,precision,recall,balanced_accuracy
65890,0.57172,0.357724,0.251429,0.50045
65948,0.596708,0.384615,0.301205,0.525602
65985,0.684584,0.121032,0.254167,0.499196
66260,0.716228,0.125436,0.367347,0.558798
66400,0.683267,0.153846,0.289855,0.517907
66410,0.692308,0.392453,0.395437,0.594115
66429,0.64218,0.347032,0.323404,0.544297
66633,0.810811,0.3,1.0,0.897059
66670,0.74772,0.100806,0.490196,0.625974
66693,0.747059,0.171642,0.560976,0.662151
66728,0.803922,0.407407,0.733333,0.774713
66773,0.751055,0.098361,0.6,0.678855
66827,0.807692,0.454545,0.681818,0.757576
66848,0.625974,0.191489,0.209302,0.477561
66944,0.771529,0.192857,0.613636,0.699199
67025,0.591429,0.284644,0.242038,0.491264
67028,0.746193,0.3,0.5,0.64521
67033,0.644918,0.140921,0.206349,0.47153
67034,0.776978,0.257143,0.642857,0.717429
67057,0.702532,0.268908,0.372093,0.573933
67078,0.62423,0.325269,0.288783,0.52395
67144,0.738241,0.168,0.466667,0.616216
67147,0.697115,0.283912,0.373444,0.574011
67178,0.638831,0.388587,0.327231,0.551116
67203,0.761658,0.215686,0.647059,0.709893
67285,0.750542,0.088608,0.6,0.678241
67331,0.697368,0.269737,0.359649,0.567476
67608,0.721612,0.133333,0.362205,0.560343
67636,0.595685,0.297398,0.248447,0.497207
67961,0.704918,0.191057,0.345588,0.554342
68236,0.669385,0.140351,0.24,0.492063
68260,0.61,0.141026,0.180328,0.449997
68290,0.630648,0.186528,0.223602,0.481511
68321,0.588235,0.268817,0.236407,0.485131
68335,0.471406,0.409639,0.217949,0.462706
68451,0.664234,0.25,0.321429,0.536861
68457,0.552612,0.399425,0.258364,0.501898
68487,0.693481,0.205405,0.339286,0.548953
68527,0.696897,0.440367,0.421053,0.610526
68576,0.651249,0.291971,0.304183,0.533509
68679,0.690675,0.133501,0.278947,0.513466
69399,0.708589,0.329545,0.446154,0.61005
69416,0.652712,0.256604,0.288136,0.523209
69444,0.75,0.240506,0.527778,0.653595
69464,0.719697,0.516129,0.421053,0.630739
69504,0.757225,0.077982,0.653846,0.707138
69677,0.777461,0.264901,0.470588,0.645197
69684,0.76304,0.065089,0.916667,0.838455
69699,0.693481,0.322751,0.396104,0.585177
69700,0.602122,0.240642,0.221675,0.481981
69771,0.699871,0.18593,0.345794,0.551276
70085,0.651435,0.2,0.26087,0.503618
70193,0.611524,0.333333,0.282209,0.518438
70316,0.308443,0.82906,0.240695,0.474149
70911,0.688209,0.129464,0.266055,0.506896
70914,0.555985,0.320611,0.229508,0.481918
71026,0.758621,0.231884,0.615385,0.694926
71129,0.790123,0.285714,0.75,0.77226
71257,0.759336,0.225806,0.583333,0.681068
71338,0.886364,0.652174,0.882353,0.884838
71352,0.601826,0.265363,0.238095,0.490755
71493,0.759615,0.195122,0.64,0.705017
71761,0.684932,0.131579,0.277778,0.509983
71816,0.707965,0.388889,0.443038,0.61575
71912,0.731343,0.157143,0.458333,0.608265
72024,0.723988,0.19337,0.4375,0.599469
72130,0.748634,0.369565,0.5,0.652685
72156,0.760582,0.220513,0.597222,0.6875
72160,0.664493,0.206304,0.27907,0.516095
72215,0.769231,0.387097,0.6,0.702062
72277,0.594328,0.279621,0.25,0.492826
72306,0.727273,0.166667,0.4375,0.598337
72369,0.641409,0.012766,0.028037,0.37426
72596,0.725026,0.445783,0.4625,0.636859
72635,0.726389,0.181319,0.407407,0.587115
72667,0.583845,0.296,0.242623,0.490554
72697,0.676471,0.254902,0.317073,0.541972
72991,0.526745,0.464029,0.256972,0.504526
73043,0.737052,0.140625,0.45,0.605952
73089,0.72067,0.340909,0.416667,0.606935
73114,0.718455,0.162162,0.375,0.567924
73117,0.792135,0.195652,1.0,0.890533
73152,0.797101,0.277778,0.833333,0.813492
73269,0.73774,0.172269,0.455556,0.611622
73355,0.756184,0.130282,0.560606,0.664449
